P/N,Cost to cost comp,Vendor,Q'ty ,vendor confirm date,ETD ,total_value,status,Ref Document,Ref Date
M623368013,,JIAYE,300,0,20140509,,0,,0
K821651195,,SHENKA,5936,0,20140514,,0,20191010-H01 K821651195,20191010
K821651195,,SHENKA,64,0,20140514,,0,20191010-H01 K821651195,20191010
SG-32K2-BH-R,,S LITE,1000,0,20140520,,0,,0
R811115C101,1.0,JIAYE,2880,0,20140520,2880.0,0,,0
C423988050,1.0,JIAYE,600,0,20140528,600.0,0,20180712-C01 C423988050,20180712
C423988050,1.0,JIAYE,27,0,20140528,27.0,0,20180712-C01 C423988050,20180712
R811118102,,JIAYE,535,0,20140528,,0,,0
R811118102,,JIAYE,2615,0,20140528,,0,,0
H211115122,1.0,JIAYE,4600,0,20140528,4600.0,0,,0
H211115122,1.0,JIAYE,2000,0,20140528,2000.0,0,,0
R811118101,,JIAYE,2000,0,20140528,,0,20230106-H01 R811118101,20230106
R811118101,,JIAYE,1550,0,20140528,,0,20230106-H01 R811118101,20230106
H211116122,1.0,JIAYE,2000,0,20140528,2000.0,0,,0
C423989050,1.0,JIAYE,1318,0,20140528,1318.0,0,20191120-H01 C423989050,20191120
C123186070,,JIAYE,2729,0,20140528,,0,,0
H211118122,1.0,JIAYE,540,0,20140528,540.0,0,,0
M723824124,,JIAYE,2100,0,20140528,,0,,0
60514B,,TOPWAY,1000,0,20140528,,0,,0
18838B,,TOPWAY,972,0,20140528,,0,,0
P220134010,,SHENKA,250,0,20140528,,0,,0
P220134010,,SHENKA,200,0,20140528,,0,,0
P220523010,1.0,SHENKA,462,0,20140528,462.0,0,,0
P220523010,1.0,SHENKA,1038,0,20140528,1038.0,0,,0
P220523010,1.0,SHENKA,1750,0,20140528,1750.0,0,,0
P223988010,,SHENKA,2400,0,20140528,,0,20190128-H01 P223988010,20190128
P223988010,,SHENKA,1086,0,20140528,,0,20190128-H01 P223988010,20190128
R121651054,,SHENKA,12500,0,20140528,,0,,0
R121651054,,SHENKA,1000,0,20140528,,0,,0
T221237100,,SHENKA,13000,0,20140528,,0,,0
P25685010,1.0,SHENKA,3400,0,20140528,3400.0,0,20190611-H01 P25685010,20190611
P25685010,1.0,SHENKA,3400,0,20140528,3400.0,0,20191202-H02 P25685010,20191202
P25685010,1.0,SHENKA,3400,0,20140528,3400.0,0,20230926-H02 P25685010,20230926
8B21651500,1.0,SHENKA,3000,0,20140528,3000.0,0,,0
P25645010,,SHENKA,400,0,20140528,,0,,0
P28240010,,SHENKA,1000,0,20140528,,0,,0
C223982072,1.0,HENSUNG,2008,0,20140528,2008.0,0,,0
P323988060,,HENSUNG,2000,0,20140528,,0,,0
B220124041,,HENSUNG,3282,0,20140528,,0,,0
G15685034,1.0,HENSUNG,10000,0,20140528,10000.0,0,,0
M65645013,,HENSUNG,800,0,20140528,,0,,0
V221237089,,HENSUNG,10000,0,20140528,,0,,0
B221651041,,HENSUNG,8400,0,20140528,,0,,0
B221651041,,HENSUNG,600,0,20140528,,0,,0
A24957021,1.0,HENSUNG,100,0,20140528,100.0,0,,0
A24957021,1.0,HENSUNG,1900,0,20140528,1900.0,0,,0
K821651195,,GOSTAR,11000,0,20140528,,0,20191010-H01 K821651195,20191010
SG-32SK2-SX,1.0,S LITE,340,0,20140525,340.0,0,,0
480-0022-2,1.0,S LITE,864,0,20140525,864.0,0,20190411-C01 480-0022-2,20190411
480-0022-2,1.0,S LITE,864,0,20140525,864.0,0,20200820-H01 480-0022-2,20200820
480-0027-00,1.0,S LITE,864,0,20140525,864.0,0,20230117-H01 480-0027-00 Revised 20230206,20230117
480-0027-00,1.0,S LITE,864,0,20140525,864.0,0,20230504-C01 480-0027-00,20230504
SGB-32S,1.0,S LITE,2500,0,20140525,2500.0,0,20220428-H01 SGB-32S - Revised 20220929,20220428
SG-32SK2-SK,1.0,S LITE,700,0,20140525,700.0,0,,0
SG-LOCK-SC10,,S LITE,1000,0,20140525,,0,,0
SG-32SK2-AD,1.0,S LITE,780,0,20140525,780.0,0,,0
SG-32SK2-AD,1.0,S LITE,820,0,20140525,820.0,0,,0
SCPS-DASK-CWSI,,S LITE,1400,0,20140525,,0,,0
480-0013-2,1.0,S LITE,500,0,20140525,500.0,0,,0
F202553,,FRONT,1000,0,20140530,,0,,0
MZH30,,FRONT,2700,0,20140530,,0,,0
DOBERMAN,1.0,HONGCHANG,1600,0,20140530,1600.0,0,,0
DOBERMAN,1.0,HONGCHANG,2000,0,20140530,2000.0,0,,0
SGST-W,1.0,HONGCHANG,1500,0,20140530,1500.0,0,,0
SGST-W,1.0,HONGCHANG,1500,0,20140530,1500.0,0,,0
H508,,HONGCHANG,120,0,20140530,,0,,0
P323988060,,HENSUNG,1317,0,20140604,,0,,0
P323988060,,HENSUNG,183,0,20140604,,0,,0
M821651035,1.0,JIAYE,29600,0,20140616,29600.0,0,,0
C423988050,1.0,JIAYE,4500,0,20140616,4500.0,0,20180712-C01 C423988050,20180712
H211115122,1.0,JIAYE,1858,0,20140616,1858.0,0,,0
R811118101,,JIAYE,1000,0,20140616,,0,20230106-H01 R811118101,20230106
R811118101,,JIAYE,1500,0,20140616,,0,20230106-H01 R811118101,20230106
R811118101,,JIAYE,560,0,20140616,,0,20230106-H01 R811118101,20230106
H211116122,1.0,JIAYE,1400,0,20140616,1400.0,0,,0
H211116122,1.0,JIAYE,3400,0,20140616,3400.0,0,,0
H211116122,1.0,JIAYE,1000,0,20140616,1000.0,0,,0
C18238070,,JIAYE,750,0,20140616,,0,,0
T820077172,1.0,JIAYE,4500,0,20140616,4500.0,0,20221012-H01 T820077172,20221012
T820077172,1.0,JIAYE,4500,0,20140616,4500.0,0,20230227-H01 T820077172,20230227
H211119122,,JIAYE,4500,0,20140616,,0,,0
H211118122,1.0,JIAYE,3645,0,20140616,3645.0,0,,0
R811115C101,1.0,JIAYE,2700,0,20140616,2700.0,0,,0
P220124010,,SHENKA,214,0,20140616,,0,20190328-H01 P220124010,20190328
P220124010,,SHENKA,214,0,20140616,,0,20190513-H01 P220124010,20190513
P220124010,,SHENKA,334,0,20140616,,0,20190328-H01 P220124010,20190328
P220124010,,SHENKA,334,0,20140616,,0,20190513-H01 P220124010,20190513
E423186107,,SHENKA,1500,0,20140616,,0,,0
E423186107,,SHENKA,1509,0,20140616,,0,,0
P223988010,,SHENKA,1094,0,20140616,,0,20190128-H01 P223988010,20190128
P223988010,,SHENKA,1152,0,20140616,,0,20190128-H01 P223988010,20190128
R121651054,,SHENKA,3640,0,20140616,,0,,0
R121651054,,SHENKA,514,0,20140616,,0,,0
T221237100,,SHENKA,8534,0,20140616,,0,,0
P28238010,,SHENKA,950,0,20140616,,0,,0
8B21651500,1.0,SHENKA,922,0,20140616,922.0,0,,0
8B21651500,1.0,SHENKA,5600,0,20140616,5600.0,0,,0
8B21651500,1.0,SHENKA,3478,0,20140616,3478.0,0,,0
P223989010,1.0,SHENKA,704,0,20140616,704.0,0,,0
P222926010,,SHENKA,450,0,20140616,,0,20190917- H01 P222926010,20190917
P222926010,,SHENKA,89,0,20140616,,0,20190917- H01 P222926010,20190917
K821651195,,SHENKA,1079,0,20140616,,0,20191010-H01 K821651195,20191010
K821651195,,SHENKA,3000,0,20140616,,0,20191010-H01 K821651195,20191010
A321651192,1.0,SHENKA,313,0,20140616,313.0,0,,0
A321651192,1.0,SHENKA,8000,0,20140616,8000.0,0,,0
V221237089,,HENSUNG,10000,0,20140616,,0,,0
P32940060,1.0,HENSUNG,2000,0,20140616,2000.0,0,,0
A323824022,,HENSUNG,1800,0,20140616,,0,,0
M65685013,,HENSUNG,826,0,20140616,,0,,0
M65685013,,HENSUNG,574,0,20140616,,0,,0
B18921040,,HENSUNG,1000,0,20140616,,0,,0
A24957021,1.0,HENSUNG,2930,0,20140616,2930.0,0,,0
P322925060,1.0,HENSUNG,650,0,20140616,650.0,0,,0
SG-32SK2-SX,1.0,S LITE,140,0,20140610,140.0,0,,0
SG-32SK2-SK,1.0,S LITE,300,0,20140610,300.0,0,,0
SG-32SK2-AD,1.0,S LITE,220,0,20140610,220.0,0,,0
SG-32SK2-AD,1.0,S LITE,180,0,20140610,180.0,0,,0
SG-32SK2-AD,1.0,S LITE,4,0,20140610,4.0,0,,0
SG-32SK2-AD,1.0,S LITE,270,0,20140610,270.0,0,,0
F406661,,ANJIE,10000,0,20140612,,0,,0
F406661,,ANJIE,10000,0,20140612,,0,,0
G5980100-01,,ANJIE,1763,0,20140612,,0,,0
F300697,,FRONT,1287,0,20140612,,0,20200820-H01 F300697_Revised 20210405,20200820
MZH30,,FRONT,2700,0,20140612,,0,,0
F300697,,FRONT,3000,0,20140612,,0,20200820-H01 F300697_Revised 20210405,20200820
F300697,,FRONT,3000,0,20140612,,0,20200820-H01 F300697_Revised 20210405,20200820
F202553,,FRONT,1000,0,20140612,,0,,0
BLOODHOUND,1.0,HONGCHANG,600,0,20140612,600.0,0,,0
PC-300,1.0,HONGCHANG,1000,0,20140612,1000.0,0,,0
STL-1A,,NINGKE,350,0,20140612,,0,,0
STL-1A,,NINGKE,400,0,20140612,,0,,0
P38252060,1.0,HENSUNG,2700,0,20140613,2700.0,0,,0
B18921040,,HENSUNG,2006,0,20140623,,0,,0
P322925060,1.0,HENSUNG,2000,0,20140623,2000.0,0,,0
V422925158,,HENSUNG,450,0,20140623,,0,,0
V422925158,,HENSUNG,1940,0,20140623,,0,,0
C25685072,,HENSUNG,600,0,20140623,,0,,0
C25685072,,HENSUNG,215,0,20140623,,0,,0
080A,1.0,HENSUNG,2205,0,20140623,2205.0,0,20190617-H01 080A,20190617
P320101060,,HENSUNG,2281,0,20140623,,0,,0
C223988072,,HENSUNG,5303,0,20140623,,0,,0
A321237022,,HENSUNG,2000,0,20140623,,0,,0
P35661060,1.0,HENSUNG,2000,0,20140623,2000.0,0,,0
M65645013,,HENSUNG,1000,0,20140623,,0,,0
R121237054,1.0,HENSUNG,1200,0,20140623,1200.0,0,20191213-H01 R121237054,20191213
V221237089,,HENSUNG,10000,0,20140623,,0,,0
V221237089,,HENSUNG,12000,0,20140623,,0,,0
P32940060,1.0,HENSUNG,1850,0,20140623,1850.0,0,,0
B221651041,,HENSUNG,7900,0,20140623,,0,,0
B221651041,,HENSUNG,6100,0,20140623,,0,,0
C423988050,1.0,JIAYE,200,0,20140623,200.0,0,20180712-C01 C423988050,20180712
C18516070,,JIAYE,1830,0,20140623,,0,20190122-H01 C18516070 C18667070,20190122
R811115C101,1.0,JIAYE,253,0,20140623,253.0,0,,0
R811115C101,1.0,JIAYE,1547,0,20140623,1547.0,0,,0
B723982146,,JIAYE,2000,0,20140623,,0,,0
685A09,,JIAYE,84,0,20140623,,0,,0
K821651195,,GOSTAR,16804,0,20140623,,0,20191010-H01 K821651195,20191010
K821651195,,GOSTAR,1196,0,20140623,,0,20191010-H01 K821651195,20191010
A321651192,1.0,SHENKA,7340,0,20140623,7340.0,0,,0
P220124010,,SHENKA,1666,0,20140623,,0,20190328-H01 P220124010,20190328
P220124010,,SHENKA,1666,0,20140623,,0,20190513-H01 P220124010,20190513
P220124010,,SHENKA,33,0,20140623,,0,20190328-H01 P220124010,20190328
P220124010,,SHENKA,33,0,20140623,,0,20190513-H01 P220124010,20190513
K821651195,,SHENKA,3000,0,20140623,,0,20191010-H01 K821651195,20191010
K821651195,,SHENKA,2000,0,20140623,,0,20191010-H01 K821651195,20191010
R121651054,,SHENKA,7860,0,20140623,,0,,0
R121651054,,SHENKA,12140,0,20140623,,0,,0
P222925010,,SHENKA,1000,0,20140623,,0,,0
P222925010,,SHENKA,805,0,20140623,,0,,0
P222926010,,SHENKA,500,0,20140623,,0,20190917- H01 P222926010,20190917
P222926010,,SHENKA,664,0,20140623,,0,20190917- H01 P222926010,20190917
A521651024,1.0,SHENKA,10000,0,20140623,10000.0,0,,0
17667,,KANGWEI,200,0,20140624,,0,20201007-H02 17667_Revised 20210331,20201007
17667,,KANGWEI,1000,0,20140624,,0,20201007-H02 17667_Revised 20210331,20201007
17669,,KANGWEI,1100,0,20140624,,0,20190612-H01 17669,20190612
17669,,KANGWEI,1100,0,20140624,,0,20220520-H01 17669 Revised 20220527,20220520
STL-1A,,NINGKE,50,0,20140620,,0,,0
STL-1B,,NINGKE,150,0,20140620,,0,,0
STL-1B,,NINGKE,100,0,20140620,,0,,0
MCL02-P-15R,,ANJIE,50000,0,20140625,,0,,0
MCL02-P-11R,,ANJIE,25000,0,20140625,,0,,0
BLOODHOUND,1.0,HONGCHANG,1500,0,20140625,1500.0,0,,0
DOBERMANPLUS,,HONGCHANG,400,0,20140625,,0,,0
DT-24,1.0,HONGCHANG,1000,0,20140625,1000.0,0,,0
H508,,HONGCHANG,120,0,20140625,,0,,0
PC-300,1.0,HONGCHANG,2000,0,20140625,2000.0,0,,0
POINTER,,HONGCHANG,200,0,20140625,,0,,0
PS-200,,HONGCHANG,800,0,20140625,,0,,0
H508,,HONGCHANG,120,0,20140625,,0,,0
STL-1B,,NINGKE,550,0,20140625,,0,,0
STL-35R,,NINGKE,400,0,20140625,,0,,0
SG-32SK2-SX,1.0,S LITE,20,0,20140629,20.0,0,,0
SG-32SK2-SX,1.0,S LITE,500,0,20140629,500.0,0,,0
SG-32SK2-AD,1.0,S LITE,730,0,20140629,730.0,0,,0
SG-32SK2-AD,1.0,S LITE,230,0,20140629,230.0,0,,0
SG-32SK2-AD,1.0,S LITE,40,0,20140629,40.0,0,,0
SGB-32S-BH,,S LITE,600,0,20140629,,0,,0
SCPS-DASK-CWSI,,S LITE,1000,0,20140629,,0,,0
SETUP-OEM,1.0,S LITE,2200,0,20140629,2200.0,0,,0
SETUP-OEM,1.0,S LITE,300,0,20140629,300.0,0,,0
SG-42K1-AF,1.0,S LITE,750,0,20140629,750.0,0,,0
PARTS,,S LITE,750,0,20140629,,0,,0
SG-42K2-AF,1.0,S LITE,750,0,20140629,750.0,0,,0
PARTS,,S LITE,750,0,20140629,,0,,0
SCPS-BBIN,,S LITE,2000,0,20140629,,0,,0
B221651041,,HENSUNG,10400,0,20140627,,0,,0
P38252060,1.0,HENSUNG,2000,0,20140627,2000.0,0,,0
B222925041,1.0,HENSUNG,1275,0,20140627,1275.0,0,20190916- H01 B222925041,20190916
B222925041,1.0,HENSUNG,1300,0,20140627,1300.0,0,20190916- H01 B222925041,20190916
6021049014,,HENSUNG,1000,0,20140627,,0,,0
R132848054,,HENSUNG,2500,0,20140627,,0,,0
B723982146,,JIAYE,500,0,20140627,,0,,0
B723982146,,JIAYE,2000,0,20140627,,0,,0
44171A,,JIAYE,95,0,20140627,,0,,0
44171B,,JIAYE,79,0,20140627,,0,,0
E423186107,,SHENKA,900,0,20140627,,0,,0
M620059013,1.0,SHENKA,1200,0,20140627,1200.0,0,,0
A521651024,1.0,SHENKA,5322,0,20140627,5322.0,0,,0
A521651024,1.0,SHENKA,6635,0,20140627,6635.0,0,,0
P220126010,,SHENKA,606,0,20140627,,0,,0
P220126010,,SHENKA,976,0,20140627,,0,,0
051-0102,,SHENKA,3000,0,20140627,,0,,0
880-0003-1,,S LITE,500,0,20140628,,0,,0
60515B,,TOPWAY,300,0,20140628,,0,,0
15716B,,SHENKA,1100,0,20140704,,0,,0
15716G,,SHENKA,1000,0,20140704,,0,,0
15716H,,SHENKA,2500,0,20140704,,0,,0
M620059013,1.0,SHENKA,1200,0,20140704,1200.0,0,,0
DS508,,HONGCHANG,1680,0,20140709,,0,,0
MCL02-P-11R,,ANJIE,25000,0,20140709,,0,,0
MCL02-P-11R,,ANJIE,25000,0,20140709,,0,,0
STL-1B,,NINGKE,500,0,20140709,,0,,0
DS301SET,,NINGKE,800,0,20140709,,0,,0
DS301 ,,NINGKE,100,0,20140709,,0,,0
MS-32,,HONGCHANG,600,0,20140712,,0,,0
DT-24,1.0,HONGCHANG,1600,0,20140712,1600.0,0,,0
POINTER,,HONGCHANG,500,0,20140712,,0,,0
H508,,HONGCHANG,240,0,20140712,,0,,0
SG-32SK2-SX,1.0,S LITE,20,0,20140525,20.0,0,,0
R811118101,,JIAYE,500,0,20140714,,0,20230106-H01 R811118101,20230106
R811118101,,JIAYE,2990,0,20140714,,0,20230106-H01 R811118101,20230106
R811118102,,JIAYE,1500,0,20140714,,0,,0
R811118102,,JIAYE,6150,0,20140714,,0,,0
H211116122,1.0,JIAYE,1400,0,20140714,1400.0,0,,0
M723824124,,JIAYE,1450,0,20140714,,0,,0
M723824124,,JIAYE,4000,0,20140714,,0,,0
M723824124,,JIAYE,1721,0,20140714,,0,,0
M821651035,1.0,JIAYE,56000,0,20140714,56000.0,0,,0
T820077172,1.0,JIAYE,4500,0,20140714,4500.0,0,20221012-H01 T820077172,20221012
T820077172,1.0,JIAYE,4500,0,20140714,4500.0,0,20230227-H01 T820077172,20230227
685A09,,JIAYE,8,0,20140714,,0,,0
C18667070,1.0,JIAYE,1800,0,20140714,1800.0,0,20220727-H01 C18667070 - R,20220727
B723982146,,JIAYE,1400,0,20140714,,0,,0
SG-32SK1-SK,1.0,S LITE,780,0,20140714,780.0,0,,0
436730010,,XFB,5000,0,20140714,,0,20191014-H01-436730010,20191014
60514B,,TOPWAY,750,0,20140714,,0,,0
18838B,,TOPWAY,628,0,20140714,,0,,0
A321651192,1.0,SHENKA,660,0,20140714,660.0,0,,0
A321651192,1.0,SHENKA,20000,0,20140714,20000.0,0,,0
P223988010,,SHENKA,600,0,20140714,,0,20190128-H01 P223988010,20190128
P223988010,,SHENKA,2020,0,20140714,,0,20190128-H01 P223988010,20190128
K821651195,,SHENKA,5850,0,20140714,,0,20191010-H01 K821651195,20191010
R121651054,,SHENKA,5000,0,20140714,,0,,0
P28359010,,SHENKA,827,0,20140714,,0,,0
051-0102,,SHENKA,3307,0,20140714,,0,,0
A38689022,1.0,SHENKA,1500,0,20140714,1500.0,0,,0
P28239010,,SHENKA,1147,0,20140714,,0,,0
P222925010,,SHENKA,436,0,20140714,,0,,0
V221237089,,HENSUNG,7500,0,20140714,,0,,0
A121049020,,HENSUNG,4200,0,20140714,,0,,0
B222925041,1.0,HENSUNG,2000,0,20140714,2000.0,0,20190916- H01 B222925041,20190916
080A12,1.0,HENSUNG,1000,0,20140714,1000.0,0,,0
6021049014,,HENSUNG,3000,0,20140714,,0,,0
6021049014,,HENSUNG,2006,0,20140714,,0,,0
V122926096,,HENSUNG,2000,0,20140714,,0,20191213-H02 V122926096,20191213
V122926096,,HENSUNG,2000,0,20140714,,0,20200122-H01 V122926096,20200122
R823186104-NC,,HENSUNG,100,0,20140714,,0,,0
R823186104-NC,,HENSUNG,1000,0,20140714,,0,,0
P322925060,1.0,HENSUNG,2750,0,20140714,2750.0,0,,0
R121237054,1.0,HENSUNG,2700,0,20140714,2700.0,0,20191213-H01 R121237054,20191213
R121237054,1.0,HENSUNG,3900,0,20140714,3900.0,0,20191213-H01 R121237054,20191213
B223988041,1.0,HENSUNG,680,0,20140714,680.0,0,20190819- H01 B223988041,20190819
B221651041,,HENSUNG,7000,0,20140714,,0,,0
44011E,,TOPWAY,500,0,20140711,,0,,0
746,,NINGKE,1480,0,20140722,,0,,0
746,,NINGKE,20,0,20140722,,0,,0
747F,,NINGKE,1480,0,20140722,,0,,0
747F,,NINGKE,20,0,20140722,,0,,0
15543A,,JIAYE,10000,0,20140712,,0,,0
P222926010,,SHENKA,535,0,20140712,,0,20190917- H01 P222926010,20190917
P222926010,,SHENKA,73,0,20140712,,0,20190917- H01 P222926010,20190917
A521651024,1.0,SHENKA,10000,0,20140712,10000.0,0,,0
15569E,,SHENKA,2000,0,20140712,,0,,0
B18921040,,HENSUNG,200,0,20140712,,0,,0
P322925060,1.0,HENSUNG,1000,0,20140712,1000.0,0,,0
A24957021,1.0,HENSUNG,170,0,20140712,170.0,0,,0
A24957021,1.0,HENSUNG,1830,0,20140712,1830.0,0,,0
M69824013,1.0,HENSUNG,360,0,20140712,360.0,0,,0
M69824013,1.0,HENSUNG,157,0,20140712,157.0,0,,0
M69824013,1.0,HENSUNG,483,0,20140712,483.0,0,,0
C223982072,1.0,HENSUNG,704,0,20140712,704.0,0,,0
P32940060,1.0,HENSUNG,398,0,20140712,398.0,0,,0
P32940060,1.0,HENSUNG,102,0,20140712,102.0,0,,0
M68237013,,HENSUNG,2400,0,20140712,,0,,0
STL-1B,,NINGKE,800,0,20140717,,0,,0
STL-1B,,NINGKE,200,0,20140717,,0,,0
A721651092,,CATHAY,42000,0,20140716,,0,,0
S521651182,,HENSUNG,28000,0,20140721,,0,,0
G15685034,1.0,HENSUNG,400,0,20140721,400.0,0,,0
G15685034,1.0,HENSUNG,500,0,20140721,500.0,0,,0
G15685034,1.0,HENSUNG,13600,0,20140721,13600.0,0,,0
A24957021,1.0,HENSUNG,2000,0,20140721,2000.0,0,,0
B220124041,,HENSUNG,306,0,20140721,,0,,0
P320101060,,HENSUNG,843,0,20140721,,0,,0
P323988060,,HENSUNG,1400,0,20140721,,0,,0
V122926096,,HENSUNG,1340,0,20140721,,0,20191213-H02 V122926096,20191213
V122926096,,HENSUNG,1340,0,20140721,,0,20200122-H01 V122926096,20200122
B221651041,,HENSUNG,15000,0,20140721,,0,,0
B222925041,1.0,HENSUNG,3035,0,20140721,3035.0,0,20190916- H01 B222925041,20190916
P38252060,1.0,HENSUNG,1500,0,20140721,1500.0,0,,0
M65645013,,HENSUNG,200,0,20140721,,0,,0
B18921040,,HENSUNG,700,0,20140721,,0,,0
M68237013,,HENSUNG,1000,0,20140721,,0,,0
M69824013,1.0,HENSUNG,200,0,20140721,200.0,0,,0
A321651192,1.0,SHENKA,2000,0,20140721,2000.0,0,,0
A321651192,1.0,SHENKA,5000,0,20140721,5000.0,0,,0
A321651192,1.0,SHENKA,6328,0,20140721,6328.0,0,,0
P220126010,,SHENKA,151,0,20140721,,0,,0
P220126010,,SHENKA,212,0,20140721,,0,,0
P220126010,,SHENKA,145,0,20140721,,0,,0
P220126010,,SHENKA,20,0,20140721,,0,,0
K821651195,,SHENKA,11445,0,20140721,,0,20191010-H01 K821651195,20191010
R121651054,,SHENKA,12500,0,20140721,,0,,0
E423186107,,SHENKA,1367,0,20140721,,0,,0
051-0102,,SHENKA,1693,0,20140721,,0,,0
P25645010,,SHENKA,600,0,20140721,,0,,0
P220070010,,SHENKA,486,0,20140721,,0,,0
8B21651500,1.0,SHENKA,3000,0,20140721,3000.0,0,,0
8B21651500,1.0,SHENKA,5122,0,20140721,5122.0,0,,0
8B21651500,1.0,SHENKA,1878,0,20140721,1878.0,0,,0
EI-19B-P0130,,MJ,1000,0,20140721,,0,,0
SCPS-DASK-CWSI,,S LITE,100,0,20140721,,0,,0
SG-32SK1-SK,1.0,S LITE,20,0,20140721,20.0,0,,0
K821651195,,GOSTAR,46804,0,20140721,,0,20191010-H01 K821651195,20191010
B723982146,,JIAYE,600,0,20140721,,0,,0
B723982146,,JIAYE,2200,0,20140721,,0,,0
H211115122,1.0,JIAYE,1142,0,20140721,1142.0,0,,0
15543A,,JIAYE,6000,0,20140721,,0,,0
C422925050,,JIAYE,2500,0,20140721,,0,,0
C422925050,,JIAYE,200,0,20140721,,0,,0
M623186013,,JIAYE,2225,0,20140721,,0,,0
746F,,NINGKE,1500,0,20140722,,0,,0
702,,NINGKE,2000,0,20140722,,0,,0
747,,NINGKE,2500,0,20140722,,0,,0
Wave2 ,,NINGKE,40000,0,20140722,,0,,0
15824AA,,TOPWAY,101,0,20140718,,0,,0
P222926010,,SHENKA,427,0,20140719,,0,20190917- H01 P222926010,20190917
P222926010,,SHENKA,1000,0,20140719,,0,20190917- H01 P222926010,20190917
M620059013,1.0,SHENKA,788,0,20140719,788.0,0,,0
15608A,,SHENKA,4000,0,20140719,,0,,0
15608B,,SHENKA,300,0,20140719,,0,,0
15608H,,SHENKA,1500,0,20140719,,0,,0
MISC-ELE,,S LITE,1,0,20140719,,0,,0
MISC-ELE,,S LITE,1,0,20140719,,0,,0
C223982072,1.0,HENSUNG,2296,0,20140721,2296.0,0,,0
C223982072,1.0,HENSUNG,1704,0,20140721,1704.0,0,,0
MCL02-P-11R,,ANJIE,25000,0,20140723,,0,,0
MCL02-P-11R,,ANJIE,25000,0,20140723,,0,,0
MCL02-P-11R,,ANJIE,20000,0,20140723,,0,,0
PB005,1.0,NINGKE,10000,0,20140723,10000.0,0,,0
STL-1A,,NINGKE,200,0,20140723,,0,,0
STL-1B,,NINGKE,500,0,20140723,,0,,0
C223186072,,JIAYE,1000,0,20140722,,0,,0
M623186013,,JIAYE,600,0,20140722,,0,,0
SG-32K2-BH-R,,S LITE,1000,0,20140722,,0,,0
SG-32SK2-BH,1.0,S LITE,1000,0,20140804,1000.0,0,,0
SG-32SK2-AD,1.0,S LITE,1000,0,20140804,1000.0,0,,0
SG-LOCK-SC10,,S LITE,1000,0,20140804,,0,,0
SG-42SK1KFP-FW,,S LITE,600,0,20140804,,0,,0
SG-44SK1KFP-KF,,S LITE,600,0,20140804,,0,,0
SG-32SK2-AD,1.0,S LITE,1000,0,20140804,1000.0,0,,0
C223982072,1.0,HENSUNG,2000,0,20140725,2000.0,0,,0
M69824013,1.0,HENSUNG,1000,0,20140725,1000.0,0,,0
A324279M192,,SHENKA,100,0,20140725,,0,,0
A524279M024,,SHENKA,100,0,20140725,,0,,0
P222925010,,SHENKA,750,0,20140726,,0,,0
M620059013,1.0,SHENKA,1000,0,20140726,1000.0,0,,0
P223988010,,SHENKA,1264,0,20140804,,0,20190128-H01 P223988010,20190128
P220523010,1.0,SHENKA,2397,0,20140804,2397.0,0,,0
T221237100,,SHENKA,45000,0,20140804,,0,,0
R121651054,,SHENKA,7500,0,20140804,,0,,0
P222925010,,SHENKA,416,0,20140804,,0,,0
P222925010,,SHENKA,68,0,20140804,,0,,0
A521651024,1.0,SHENKA,15000,0,20140804,15000.0,0,,0
P220070010,,SHENKA,700,0,20140804,,0,,0
H211115122,1.0,JIAYE,2850,0,20140804,2850.0,0,,0
C422925050,,JIAYE,2625,0,20140804,,0,,0
15543A,,JIAYE,4000,0,20140804,,0,,0
C422926050,1.0,JIAYE,2100,0,20140804,2100.0,0,,0
C123186070,,JIAYE,1118,0,20140804,,0,,0
60515B,,TOPWAY,200,0,20140804,,0,,0
60515B,,TOPWAY,500,0,20140804,,0,,0
60515B,,TOPWAY,46,0,20140804,,0,,0
44011E,,TOPWAY,500,0,20140804,,0,,0
44011E,,TOPWAY,70,0,20140804,,0,,0
15979AA,,TOPWAY,94,0,20140804,,0,,0
P323988060,,HENSUNG,1917,0,20140804,,0,,0
P323988060,,HENSUNG,2500,0,20140804,,0,,0
P323988060,,HENSUNG,1983,0,20140804,,0,,0
B221651041,,HENSUNG,18000,0,20140804,,0,,0
P38252060,1.0,HENSUNG,2500,0,20140804,2500.0,0,,0
P38252060,1.0,HENSUNG,1500,0,20140804,1500.0,0,,0
M68237013,,HENSUNG,1436,0,20140804,,0,,0
M68237013,,HENSUNG,60,0,20140804,,0,,0
B222925041,1.0,HENSUNG,265,0,20140804,265.0,0,20190916- H01 B222925041,20190916
B222925041,1.0,HENSUNG,3635,0,20140804,3635.0,0,20190916- H01 B222925041,20190916
C223982072,1.0,HENSUNG,2900,0,20140804,2900.0,0,,0
6021049014,,HENSUNG,4250,0,20140804,,0,,0
P32940060,1.0,HENSUNG,3524,0,20140804,3524.0,0,,0
C223988072,,HENSUNG,403,0,20140804,,0,,0
C223988072,,HENSUNG,2198,0,20140804,,0,,0
P320101060,,HENSUNG,1000,0,20140804,,0,,0
043-0081,,SUNFUNG,360,0,20140804,,0,,0
4996D-NC,,JIAYE,7000,0,20140728,,0,,0
4996D-NC,,JIAYE,500,0,20140728,,0,,0
M620059013,1.0,SHENKA,812,0,20140801,812.0,0,,0
R811115C101,1.0,JIAYE,1000,0,20140802,1000.0,0,,0
